# 2026-09-18 07:17:38  anchor_train.py --out runs/C_pf_far_ep250 --row 1.0 --n-move 5 --epoch-len 1150 --epochs 250 --eval-every 10 --tta 8 --seed 1 --pf-channels 2 --far-anchor 0.6
grid: 256 rows x 336 cols (row 1.0 ft, colw 32.0 ft), state grid 64 bins of 4.0 ft, stem_stride 1, arch effnet, GR prefilter 0 ft
wells: 773 total -> 618 train / 155 holdout (first holdout d07aed8f)
wells: cache hit C:\Users\sudha\OneDrive\Documents\GitHub\Erudition\kaggle2ndplace\cache\wells__773_cf8a82a2.npz
scored rows in holdout: 754,122
model: GR2TVTAnchorNet 3.74M params, n_move=5, dzl_head=True, pretrained=True
schedule: 250 epochs x 95 steps (batch 6 x accum 2), lr 0.001, warmup 200
epoch  66/250  loss 0.6399  ce 0.3195  huber 0.0270  dzl 0.2934  oov 0.00012  lr 1.00e-03  29s
epoch  67/250  loss 0.6336  ce 0.3162  huber 0.0268  dzl 0.2906  oov 0.00008  lr 1.00e-03  29s
epoch  68/250  loss 0.6348  ce 0.3144  huber 0.0269  dzl 0.2934  oov 0.00011  lr 1.00e-03  29s
epoch  69/250  loss 0.6371  ce 0.3183  huber 0.0269  dzl 0.2919  oov 0.00012  lr 1.00e-03  28s  | holdout pooled RMSE 6.4933 ft
epoch  70/250  loss 0.6262  ce 0.3132  huber 0.0266  dzl 0.2864  oov 0.00005  lr 1.00e-03  29s
epoch  71/250  loss 0.6286  ce 0.3153  huber 0.0266  dzl 0.2868  oov 0.00010  lr 1.00e-03  28s
epoch  72/250  loss 0.6314  ce 0.3137  huber 0.0267  dzl 0.2910  oov 0.00011  lr 1.00e-03  29s
epoch  73/250  loss 0.6343  ce 0.3157  huber 0.0269  dzl 0.2917  oov 0.00011  lr 1.00e-03  29s
epoch  74/250  loss 0.6280  ce 0.3122  huber 0.0262  dzl 0.2896  oov 0.00008  lr 1.00e-03  29s
epoch  75/250  loss 0.6241  ce 0.3134  huber 0.0265  dzl 0.2842  oov 0.00012  lr 1.00e-03  28s
epoch  76/250  loss 0.6215  ce 0.3106  huber 0.0266  dzl 0.2842  oov 0.00009  lr 1.00e-03  28s
epoch  77/250  loss 0.6227  ce 0.3120  huber 0.0266  dzl 0.2841  oov 0.00010  lr 1.00e-03  29s
epoch  78/250  loss 0.6136  ce 0.3085  huber 0.0259  dzl 0.2792  oov 0.00010  lr 1.00e-03  29s
epoch  79/250  loss 0.6301  ce 0.3134  huber 0.0263  dzl 0.2904  oov 0.00012  lr 1.00e-03  29s  | holdout pooled RMSE 6.5774 ft
epoch  80/250  loss 0.6215  ce 0.3089  huber 0.0262  dzl 0.2865  oov 0.00008  lr 1.00e-03  29s
epoch  81/250  loss 0.6086  ce 0.3059  huber 0.0260  dzl 0.2767  oov 0.00009  lr 1.00e-03  29s
epoch  82/250  loss 0.6176  ce 0.3088  huber 0.0258  dzl 0.2830  oov 0.00009  lr 1.00e-03  28s
epoch  83/250  loss 0.6106  ce 0.3066  huber 0.0257  dzl 0.2783  oov 0.00008  lr 1.00e-03  29s
epoch  84/250  loss 0.6198  ce 0.3090  huber 0.0256  dzl 0.2852  oov 0.00009  lr 1.00e-03  29s
epoch  85/250  loss 0.6135  ce 0.3068  huber 0.0255  dzl 0.2812  oov 0.00009  lr 1.00e-03  29s
epoch  86/250  loss 0.6018  ce 0.3017  huber 0.0254  dzl 0.2747  oov 0.00010  lr 1.00e-03  29s
epoch  87/250  loss 0.6114  ce 0.3072  huber 0.0256  dzl 0.2786  oov 0.00011  lr 1.00e-03  29s
epoch  88/250  loss 0.6087  ce 0.3072  huber 0.0257  dzl 0.2758  oov 0.00012  lr 1.00e-03  29s
epoch  89/250  loss 0.6087  ce 0.3030  huber 0.0254  dzl 0.2803  oov 0.00011  lr 1.00e-03  29s  | holdout pooled RMSE 6.8394 ft
epoch  90/250  loss 0.6087  ce 0.3055  huber 0.0257  dzl 0.2774  oov 0.00008  lr 1.00e-03  29s
epoch  91/250  loss 0.6091  ce 0.3061  huber 0.0253  dzl 0.2776  oov 0.00012  lr 1.00e-03  29s
epoch  92/250  loss 0.6057  ce 0.3056  huber 0.0250  dzl 0.2751  oov 0.00009  lr 1.00e-03  29s
epoch  93/250  loss 0.6002  ce 0.3013  huber 0.0251  dzl 0.2738  oov 0.00010  lr 1.00e-03  29s
epoch  94/250  loss 0.6063  ce 0.3045  huber 0.0249  dzl 0.2769  oov 0.00008  lr 1.00e-03  29s
epoch  95/250  loss 0.5983  ce 0.3000  huber 0.0247  dzl 0.2736  oov 0.00010  lr 1.00e-03  29s
epoch  96/250  loss 0.5941  ce 0.3016  huber 0.0252  dzl 0.2674  oov 0.00007  lr 1.00e-03  28s
epoch  97/250  loss 0.6074  ce 0.3049  huber 0.0250  dzl 0.2774  oov 0.00009  lr 1.00e-03  29s
epoch  98/250  loss 0.6014  ce 0.3010  huber 0.0246  dzl 0.2758  oov 0.00012  lr 1.00e-03  29s
epoch  99/250  loss 0.5935  ce 0.2982  huber 0.0249  dzl 0.2704  oov 0.00009  lr 1.00e-03  29s  | holdout pooled RMSE 6.9489 ft
